Plot,Location,Year,Type,Rep,Block,Row,Col,DIISet,Female,FemaleGeno,Male,MaleGeno,Entry,Geno,Check?,Stand count,PlantHt,EarHt,Flavor,Tenderness,Husk,Tip,Width,Length,Pollen,Silk
1101,WMARS,2015,,1,1,1,1,3,23,We09418,35,We12401,110,We09418 x We12401,,11,140,45,4,4,,,,,58,
1102,WMARS,2015,,1,1,1,2,,,,,,141,Ambrosia,Check,4,150,55,3,4,,,,,62,
1103,WMARS,2015,,1,1,1,3,3,16,We08411,27,We1095407-4,93,We08411 x We1095407-4,,18,175,70,3,2,,,,,61,
1104,WMARS,2015,,1,1,1,4,,,,,,143,Temptation,Check,20,150,60,2,3,,,,,58,
1105,WMARS,2015,,1,1,1,5,,,,,,37,Wu04819,,13,105,50,2,3,,,,,66,
1106,WMARS,2015,,1,1,1,6,2,33,We11409,29,We11403,89,We11409 x We11403,,17,165,80,2,3,,,,,62,
1107,WMARS,2015,,1,1,1,7,1,7,We05401,32,We11408,55,We05401 x We11408,,11,145,50,3,3,,,,,60,
1108,WMARS,2015,,1,1,1,8,3,18,We08417,10,We06409b,96,We08417 x We06409b,,24,150,80,2,3,,,,,62,
1109,WMARS,2015,,1,1,1,9,2,1,We01403,5,We03418b,66,We01403 x We03418b,,23,170,70,4,3,,,,,60,
1110,WMARS,2015,,1,1,1,10,2,9,We05410,19,We08421a,73,We05410 x We08421a,,18,145,55,3,3,,,,,59,
1111,WMARS,2015,,1,1,2,10,2,1,We01403,29,We11403,69,We01403 x We11403,,17,180,85,3,3,,,,,65,
1112,WMARS,2015,,1,1,2,9,4,39,Wu10802R,24,We09423a,125,Wu10802R x We09423a,,19,165,70,1,3,,,,,60,
1113,WMARS,2015,,1,1,2,8,1,4,We03418a,17,We08413,47,We03418a x We08413,,19,165,65,3,2,,,,,60,
1114,WMARS,2015,,1,1,2,7,2,15,We08408,14,We08407,82,We08408 x We08407,,22,150,50,3,3,,,,,58,
1115,WMARS,2015,,1,1,2,6,3,20,We09403,27,We1095407-4,103,We09403 x We1095407-4,,22,180,95,2,3,,,,,60,
1116,WMARS,2015,,1,1,2,5,,,,,,20,We09403,,23,105,45,4,4,,,,,61,
1117,WMARS,2015,,1,1,2,4,1,3,We02406,22,We09415,43,We02406 x We09415,,12,180,80,3,3,,,,,63,
1118,WMARS,2015,,1,1,2,3,,,,,,8,We05407,,13,95,30,4,3,,,,,59,
1119,WMARS,2015,,1,1,2,2,3,23,We09418,27,We1095407-4,108,We09418 x We1095407-4,,17,160,70,4,2,,,,,62,
1120,WMARS,2015,,1,1,2,1,,,,,,18,We08417,,21,105,55,1,2,,,,,64,
1121,WMARS,2015,,1,1,3,1,4,28,We11401,11,We06410,132,We11401 x We06410,,18,170,80,4,3,,,,,61,
1122,WMARS,2015,,1,1,3,2,4,39,Wu10802R,11,We06410,122,Wu10802R x We06410,,21,180,75,1,2,,,,,60,
1123,WMARS,2015,,1,1,3,3,1,36,Wu04806,6,We04401,61,Wu04806 x We04401,,20,175,60,2,2,,,,,60,
1124,WMARS,2015,,1,1,3,4,1,3,We02406,32,We11408,45,We02406 x We11408,,8,150,65,3,3,,,,,62,
1125,WMARS,2015,,1,1,3,5,3,20,We09403,10,We06409b,101,We09403 x We06409b,,18,155,65,2,4,,,,,61,
1126,WMARS,2015,,1,1,3,6,,,,,,29,We11403,,4,130,65,4,3,,,,,68,
1127,WMARS,2015,,1,1,3,7,,,,,,13,We07403b,,11,120,40,1,2,,,,,60,
1128,WMARS,2015,,1,1,3,8,,,,,,22,We09415,,10,160,70,2,3,,,,,65,
1129,WMARS,2015,,1,1,3,9,4,2,We02402,8,We05407,116,We02402 x We05407,,22,165,75,1,1,,,,,60,
1130,WMARS,2015,,1,1,3,10,,,,,,142,Who Gets Kissed?,Check,6,160,65,2,4,,,,,65,
1131,WMARS,2015,,1,1,4,10,2,33,We11409,14,We08407,87,We11409 x We08407,,17,155,75,4,3,,,,,63,
1132,WMARS,2015,,1,1,4,9,,,,,,35,We12401,,1,,,,,,,,,,
1133,WMARS,2015,,1,1,4,8,3,37,Wu04819,10,We06409b,111,Wu04819 x We06409b,,10,150,65,2,3,,,,,63,
1134,WMARS,2015,,1,1,4,7,4,31,We11407,11,We06410,137,We11407 x We06410,,16,160,70,2,2,,,,,60,
1135,WMARS,2015,,1,1,4,6,4,26,We1095407-2,13,We07403b,128,We1095407-2 x We07403b,,16,160,65,1,2,,,,,61,
1136,WMARS,2015,,1,1,4,5,2,12,We07403a,19,We08421a,78,We07403a x We08421a,,9,140,55,1,1,,,,,62,
1137,WMARS,2015,,1,1,4,4,1,38,Wu07812,32,We11408,60,Wu07812 x We11408,,17,145,50,2,2,,,,,60,
1138,WMARS,2015,,1,1,4,3,1,4,We03418a,6,We04401,46,We03418a x We04401,,9,160,55,2,2,,,,,64,
1201,WMARS,2015,,1,2,5,1,,,,,,34,We11416,,7,150,60,1,4,,,,,66,
1202,WMARS,2015,,1,2,5,2,,,,,,39,Wu10802R,,8,110,55,1,2,,,,,67,
1203,WMARS,2015,,1,2,5,3,2,33,We11409,19,We08421a,88,We11409 x We08421a,,18,160,65,2,2,,,,,67,
1204,WMARS,2015,,1,2,5,4,4,26,We1095407-2,11,We06410,127,We1095407-2 x We06410,,10,145,50,1,3,,,,,62,
1205,WMARS,2015,,1,2,5,5,2,12,We07403a,29,We11403,79,We07403a x We11403,,11,155,70,3,1,,,,,64,
1206,WMARS,2015,,1,2,5,6,,,,,,16,We08411,,19,90,25,3,2,,,,,62,
1207,WMARS,2015,,1,2,5,7,1,38,Wu07812,6,We04401,56,Wu07812 x We04401,,18,150,45,3,3,,,,,60,
1208,WMARS,2015,,1,2,5,8,4,2,We02402,24,We09423a,120,We02402 x We09423a,,17,170,60,1,2,,,,,61,
1209,WMARS,2015,,1,2,5,9,3,20,We09403,25,We09426,102,We09403 x We09426,,20,140,40,2,2,,,,,63,
1210,WMARS,2015,,1,2,5,10,4,39,Wu10802R,8,We05407,121,Wu10802R x We05407,,18,130,50,2,3,,,,,60,
1211,WMARS,2015,,1,2,6,10,4,28,We11401,24,We09423a,135,We11401 x We09423a,,15,180,70,1,3,,,,,62,
1212,WMARS,2015,,1,2,6,9,4,28,We11401,21,We09404,134,We11401 x We09404,,22,150,70,3,3,,,,,63,
1213,WMARS,2015,,1,2,6,8,3,37,Wu04819,27,We1095407-4,113,Wu04819 x We1095407-4,,22,175,65,2,2,,,,,64,
1214,WMARS,2015,,1,2,6,7,,,,,,17,We08413,,13,95,30,3,3,,,,,64,
1215,WMARS,2015,,1,2,6,6,3,37,Wu04819,35,We12401,115,Wu04819 x We12401,,10,150,60,3,3,,,,,64,
1216,WMARS,2015,,1,2,6,5,2,1,We01403,19,We08421a,68,We01403 x We08421a,,18,170,75,3,2,,,,,64,
1217,WMARS,2015,,1,2,6,4,3,18,We08417,30,We11406,99,We08417 x We11406,,21,150,60,3,2,,,,,62,
1218,WMARS,2015,,1,2,6,3,,,,,,15,We08408,,15,120,40,5,3,,,,,63,
1219,WMARS,2015,,1,2,6,2,,,,,,143,Temptation,Check,22,155,50,3,3,,,,,60,
1220,WMARS,2015,,1,2,6,1,1,7,We05401,6,We04401,51,We05401 x We04401,,19,130,40,4,4,,,,,59,
1221,WMARS,2015,,1,2,7,1,,,,,,5,We03418b,,8,100,30,5,3,,,,,64,
1222,WMARS,2015,,1,2,7,2,,,,,,11,We06410,,15,125,35,3,3,,,,,64,
1223,WMARS,2015,,1,2,7,3,2,15,We08408,5,We03418b,81,We08408 x We03418b,,16,150,45,4,3,,,,,59,
1224,WMARS,2015,,1,2,7,4,2,15,We08408,29,We11403,84,We08408 x We11403,,18,145,55,2,3,,,,,61,
1225,WMARS,2015,,1,2,7,5,2,12,We07403a,5,We03418b,76,We07403a x We03418b,,16,145,40,2,2,,,,,59,
1226,WMARS,2015,,1,2,7,6,3,18,We08417,35,We12401,100,We08417 x We12401,,8,145,55,2,3,,,,,64,
1227,WMARS,2015,,1,2,7,7,4,26,We1095407-2,21,We09404,129,We1095407-2 x We09404,,20,125,45,2,3,,,,,60,
1228,WMARS,2015,,1,2,7,8,4,2,We02402,21,We09404,119,We02402 x We09404,,18,150,55,1,3,,,,,64,
1229,WMARS,2015,,1,2,7,9,4,26,We1095407-2,24,We09423a,130,We1095407-2 x We09423a,,10,150,55,3,3,,,,,60,
1230,WMARS,2015,,1,2,7,10,1,3,We02406,6,We04401,41,We02406 x We04401,,9,145,55,2,2,,,,,65,
1231,WMARS,2015,,1,2,8,10,2,9,We05410,14,We08407,72,We05410 x We08407,,23,155,45,4,4,,,,,57,
1232,WMARS,2015,,1,2,8,9,1,4,We03418a,40,Wu10803R,49,We03418a x Wu10803R,,23,175,60,3,3,,,,,60,
1233,WMARS,2015,,1,2,8,8,3,16,We08411,10,We06409b,91,We08411 x We06409b,,20,145,60,4,3,,,,,60,
1234,WMARS,2015,,1,2,8,7,4,39,Wu10802R,13,We07403b,123,Wu10802R x We07403b,,19,150,60,1,3,,,,,59,
1235,WMARS,2015,,1,2,8,6,,,,,,141,Ambrosia,Check,4,150,55,4,3,,,,,63,
